date,state,district,age_0_5,age_5_17,age_18_greater,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,total_enrolment,total_biometric_updates,biometric_to_enrolment_ratio,elderly_update_pressure,child_update_pressure,service_stress_risk
2025-01-04,assam,karbi anglong,543,1030,323,2984.0,1071.0,,,1896,4055.0,2.1375856615709012,,,0.0009125232279918468
2025-01-04,assam,karimganj,508,426,91,2550.0,934.0,,,1025,3484.0,3.395711500974659,,,0.0014496100324331521
2025-01-04,assam,kokrajhar,301,238,25,4750.0,1068.0,,,564,5818.0,10.297345132743363,,,0.004395878391779451
2025-01-04,assam,lakhimpur,400,221,93,3081.0,896.0,,,714,3977.0,5.562237762237762,,,0.0023744878387354372
2025-01-04,assam,marigaon,540,457,96,4983.0,1237.0,,,1093,6220.0,5.6855575868372945,,,0.002427132374316881
2025-01-04,assam,nagaon,504,236,36,8183.0,5530.0,,,776,13713.0,17.64864864864865,,,0.007534108281173382
2025-01-04,assam,nalbari,55,49,77,1452.0,301.0,,,181,1753.0,9.631868131868131,,,0.004111790024276683
2025-01-04,assam,north cachar hills,130,179,99,184.0,95.0,,,408,279.0,0.6821515892420538,,,0.00029120665495925455
2025-01-04,assam,sibsagar,220,83,276,757.0,248.0,,,579,1005.0,1.7327586206896552,,,0.0007397048540830971
2025-01-04,assam,sonitpur,138,169,65,3255.0,1068.0,,,372,4323.0,11.589812332439678,,,0.004947625328682893
2025-01-04,assam,south salmara mankachar,176,102,30,360.0,161.0,,,308,521.0,1.686084142394822,,,0.0007197797833062207
2025-01-04,assam,tinsukia,339,391,261,1387.0,723.0,,,991,2110.0,2.127016129032258,,,0.000908011154336076
2025-01-04,assam,udalguri,447,364,319,2535.0,738.0,,,1130,3273.0,2.8938992042440317,,,0.0012353892013848586
2025-01-04,assam,west karbi anglong,94,344,45,162.0,188.0,,,483,350.0,0.7231404958677686,,,0.00030870458735016805
2025-01-04,bihar,bhagalpur,678,534,26,14317.0,10270.0,,,1238,24587.0,19.844229217110573,,,0.008471389206877513
2025-01-04,bihar,east champaran,1528,2371,153,18395.0,16092.0,,,4052,34487.0,8.509005674808783,,,0.0036324463926611667
2025-01-04,bihar,gaya,437,1371,54,17648.0,14616.0,,,1862,32264.0,17.318303811057433,,,0.007393085938551732
2025-01-04,bihar,jamui,1015,647,30,7373.0,4803.0,,,1692,12176.0,7.191966922622563,,,0.0030702099989850856
2025-01-04,bihar,jehanabad,78,292,48,2739.0,2931.0,,,418,5670.0,13.532219570405728,,,0.0057768279916353155
2025-01-04,bihar,kaimur (bhabua),146,199,12,5973.0,4993.0,,,357,10966.0,30.631284916201118,,,0.013076322269456184
2025-01-04,bihar,madhubani,388,485,60,21330.0,19418.0,,,933,40748.0,43.62740899357602,,,0.018624294127460413
2025-01-04,bihar,munger,191,278,22,3807.0,3746.0,,,491,7553.0,15.351626016260163,,,0.006553522312170827
2025-01-04,bihar,muzaffarpur,1159,865,65,18807.0,16225.0,,,2089,35032.0,16.761722488038277,,,0.007155484519973651
2025-01-04,bihar,patna,723,2303,373,17785.0,15295.0,,,3399,33080.0,9.729411764705882,,,0.004153430849394186
2025-01-04,bihar,purnia,517,276,21,19935.0,17607.0,,,814,37542.0,46.06380368098159,,,0.01966437723841263
2025-01-04,bihar,saran,143,174,10,9485.0,10504.0,,,327,19989.0,60.94207317073171,,,0.026015826326886534
2025-01-04,bihar,sitamarhi,2452,1625,487,14036.0,13191.0,,,4564,27227.0,5.964293537787514,,,0.002546123175149419
2025-01-04,bihar,vaishali,270,217,10,14309.0,14410.0,,,497,28719.0,57.66867469879518,,,0.024618431034704447
2025-01-04,bihar,west champaran,2826,3724,159,13858.0,12321.0,,,6709,26179.0,3.901490312965723,,,0.0016655241464101271
2025-01-04,chandigarh,chandigarh,86,21,10,4587.0,3334.0,,,117,7921.0,67.12711864406779,,,0.028656187254671412
2025-01-04,chhattisgarh,bijapur,397,135,126,1550.0,1985.0,,,658,3535.0,5.364188163884673,,,0.0022899415854363597
2025-01-04,chhattisgarh,durg,336,38,10,3606.0,15585.0,,,384,19191.0,49.846753246753245,,,0.02127929701035357
2025-01-04,chhattisgarh,raipur,299,12,11,3770.0,15413.0,,,322,19183.0,59.39009287925697,,,0.02535329471899977
2025-01-04,chhattisgarh,sukma,267,69,45,879.0,1508.0,,,381,2387.0,6.2486910994764395,,,0.0026675308855822577
2025-01-04,delhi,central delhi,80,41,12,5261.0,5303.0,,,133,10564.0,78.83582089552239,,,0.03365456601729878
2025-01-04,delhi,east delhi,676,221,15,12509.0,14044.0,,,912,26553.0,29.083242059145675,,,0.012415471530051514
2025-01-04,delhi,north west delhi,903,349,54,27815.0,37256.0,,,1306,65071.0,49.78653404743688,,,0.021253589774786287
2025-01-04,delhi,shahdara,208,98,13,696.0,928.0,,,319,1624.0,5.075,,,0.002166488794023479
2025-01-04,delhi,south delhi,404,137,22,23647.0,29056.0,,,563,52703.0,93.44503546099291,,,0.039891157080466554
2025-01-04,delhi,south west delhi,558,209,58,13859.0,13828.0,,,825,27687.0,33.51937046004843,,,0.014309229652101784
2025-01-04,delhi,west delhi,1249,440,183,14572.0,21234.0,,,1872,35806.0,19.116924719701014,,,0.008160907030822204
2025-01-04,gujarat,ahmedabad,77,26,19,18247.0,27634.0,,,122,45881.0,373.0162601626016,,,0.15923853155287154
2025-01-04,gujarat,amreli,174,21,43,3506.0,3969.0,,,238,7475.0,31.276150627615063,,,0.013351611794072597
2025-01-04,gujarat,anand,136,30,75,6004.0,7883.0,,,241,13887.0,57.38429752066116,,,0.024497032025895902
2025-01-04,gujarat,arvalli,144,32,30,2004.0,1235.0,,,206,3239.0,15.647342995169081,,,0.006679762217788295
2025-01-04,gujarat,banaskantha,1685,1358,1001,5649.0,7714.0,,,4044,13363.0,3.3035846724351052,,,0.0014102816104312082
2025-01-04,gujarat,bharuch,138,50,23,4252.0,5159.0,,,211,9411.0,44.39150943396226,,,0.018950484283441735
2025-01-04,gujarat,bhavnagar,567,36,25,7718.0,9386.0,,,628,17104.0,27.19236883942766,,,0.011608268447994731
2025-01-04,gujarat,botad,291,21,20,909.0,636.0,,,332,1545.0,4.63963963963964,,,0.001980635918736239
2025-01-04,gujarat,chhotaudepur,242,121,119,2427.0,2256.0,,,482,4683.0,9.695652173913043,,,0.004139019071040786
2025-01-04,gujarat,dahod,855,782,434,7920.0,8011.0,,,2071,15931.0,7.688706563706564,,,0.0032822653420305496
2025-01-04,gujarat,devbhumi dwarka,186,44,54,2361.0,1003.0,,,284,3364.0,11.803508771929824,,,0.005038851129959369
2025-01-04,gujarat,gandhinagar,495,138,156,3978.0,5229.0,,,789,9207.0,11.654430379746836,,,0.004975210407576024
2025-01-04,gujarat,gir somnath,1262,265,179,2439.0,1721.0,,,1706,4160.0,2.437024018746339,,,0.0010403517689418736
2025-01-04,gujarat,jamnagar,240,43,33,3999.0,4706.0,,,316,8705.0,27.460567823343847,,,0.011722761077201214
2025-01-04,gujarat,junagadh,250,27,12,3163.0,8036.0,,,289,11199.0,38.61724137931034,,,0.01648548191219225
2025-01-04,gujarat,kachchh,587,242,78,9160.0,7044.0,,,907,16204.0,17.845814977973568,,,0.007618277471920412
2025-01-04,gujarat,kheda,425,80,150,5900.0,7903.0,,,655,13803.0,21.041158536585368,,,0.008982351563110082
2025-01-04,gujarat,mahesana,433,55,65,3672.0,5662.0,,,553,9334.0,16.84837545126354,,,0.007192476179835022
2025-01-04,gujarat,mahisagar,110,12,16,1745.0,1517.0,,,138,3262.0,23.467625899280577,,,0.01001819675529587
2025-01-04,gujarat,morbi,818,178,175,2887.0,1336.0,,,1171,4223.0,3.6032423208191124,,,0.0015382037655577855
2025-01-04,gujarat,navsari,133,10,33,2813.0,2655.0,,,176,5468.0,30.89265536723164,,,0.01318789983659835
2025-01-04,gujarat,panchmahals,574,145,183,3091.0,6898.0,,,902,9989.0,11.062015503875969,,,0.004722311847972665
2025-01-04,gujarat,patan,800,173,225,3491.0,4618.0,,,1198,8109.0,6.763135946622185,,,0.002887144480948638
2025-01-04,gujarat,porbandar,267,38,44,1716.0,2165.0,,,349,3881.0,11.088571428571429,,,0.004733648422015551
2025-01-04,gujarat,rajkot,1398,338,231,8682.0,10776.0,,,1967,19458.0,9.887195121951219,,,0.004220787672124319
2025-01-04,gujarat,sabarkantha,389,197,110,4778.0,5880.0,,,696,10658.0,15.291248206599713,,,0.006527747366744807
2025-01-04,gujarat,surat,2932,976,280,17298.0,20133.0,,,4188,37431.0,8.935545476247315,,,0.003814533821236847
2025-01-04,gujarat,surendra nagar,436,159,91,5561.0,6110.0,,,686,11671.0,16.98835516739447,,,0.007252232728877041
2025-01-04,gujarat,tapi,68,12,13,2229.0,3622.0,,,93,5851.0,62.244680851063826,,,0.026571902177615292
2025-01-04,gujarat,the dangs,85,13,22,2183.0,2392.0,,,120,4575.0,37.8099173553719,,,0.01614083985288021
2025-01-04,gujarat,vadodara,788,216,180,6897.0,14900.0,,,1184,21797.0,18.39409282700422,,,0.007852334184420157
2025-01-04,gujarat,valsad,618,186,100,4813.0,5971.0,,,904,10784.0,11.916022099447513,,,0.005086882433061905
2025-01-04,haryana,faridabad,1291,290,25,6769.0,8256.0,,,1606,15025.0,9.349719975108899,,,0.003991342572084908
2025-01-04,haryana,gurgaon,494,192,36,4250.0,4638.0,,,722,8888.0,12.293222683264178,,,0.005247907228714697
2025-01-04,jammu and kashmir,punch,142,59,10,2567.0,3272.0,,,211,5839.0,27.54245283018868,,,0.011757717323453012
2025-01-04,jharkhand,deoghar,371,342,10,6707.0,5891.0,,,723,12598.0,17.400552486187845,,,0.007428197432737606
2025-01-04,jharkhand,dumka,34,32,23,9051.0,8197.0,,,89,17248.0,191.64444444444445,,,0.08181192932526976
2025-01-04,jharkhand,east singhbhum,55,54,11,12370.0,12771.0,,,120,25141.0,207.77685950413223,,,0.0886987660636637
2025-01-04,jharkhand,godda,79,46,11,11029.0,6501.0,,,136,17530.0,127.95620437956204,,,0.05462377988455156
2025-01-04,jharkhand,hazaribagh,169,65,14,7363.0,5568.0,,,248,12931.0,51.93172690763052,,,0.022169360472841203
2025-01-04,jharkhand,lohardaga,187,104,17,3098.0,4422.0,,,308,7520.0,24.336569579288025,,,0.010389143897241418
2025-01-04,jharkhand,pakur,579,372,11,4133.0,2273.0,,,962,6406.0,6.652128764278297,,,0.002839756142701514
2025-01-04,jharkhand,ranchi,552,481,87,12941.0,20668.0,,,1120,33609.0,29.981266726137378,,,0.0127988331808484
2025-01-04,karnataka,bengaluru,5774,1026,1047,19925.0,19444.0,,,7847,39369.0,5.016437308868501,,,0.0021414887124305234
2025-01-04,karnataka,kalaburagi,560,31,17,4184.0,2891.0,,,608,7075.0,11.617405582922824,,,0.0049594047312370645
2025-01-04,karnataka,mysuru,456,19,10,3719.0,3149.0,,,485,6868.0,14.131687242798353,,,0.006032737350180727
2025-01-04,karnataka,yadgir,536,89,21,3760.0,3814.0,,,646,7574.0,11.706336939721792,,,0.004997369024427659
2025-01-04,madhya pradesh,alirajpur,134,105,15,4642.0,4219.0,,,254,8861.0,34.74901960784314,,,0.01483415991796932
2025-01-04,madhya pradesh,ashok nagar,342,139,50,8644.0,3800.0,,,531,12444.0,23.39097744360902,,,0.009985475963120178
2025-01-04,madhya pradesh,barwani,497,313,10,15662.0,11872.0,,,820,27534.0,33.53714981729598,,,0.014316819559144496
2025-01-04,madhya pradesh,betul,193,20,10,11062.0,11031.0,,,223,22093.0,98.62946428571429,,,0.04210436042079585
2025-01-04,madhya pradesh,bhind,732,228,91,5754.0,2999.0,,,1051,8753.0,8.320342205323193,,,0.003551907024684394
2025-01-04,madhya pradesh,bhopal,316,47,20,11729.0,9688.0,,,383,21417.0,55.7734375,,,0.023809364994663816
2025-01-04,madhya pradesh,burhanpur,547,155,100,3801.0,3962.0,,,802,7763.0,9.667496886674968,,,0.0041269997381750126
2025-01-04,madhya pradesh,chhatarpur,555,255,40,14269.0,9000.0,,,850,23269.0,27.34312573443008,,,0.011672625713737493
2025-01-04,madhya pradesh,datia,237,55,10,4531.0,2350.0,,,302,6881.0,22.70957095709571,,,0.009694587388301264
2025-01-04,madhya pradesh,dewas,427,65,10,6769.0,7532.0,,,502,14301.0,28.431411530815108,,,0.012137208764488839
2025-01-04,madhya pradesh,dhar,396,116,107,10072.0,9703.0,,,619,19775.0,31.89516129032258,,,0.01361586394464144
2025-01-04,madhya pradesh,guna,633,120,31,11724.0,5429.0,,,784,17153.0,21.850955414012738,,,0.009328049269589215
2025-01-04,madhya pradesh,gwalior,855,370,113,10154.0,6546.0,,,1338,16700.0,12.471994025392084,,,0.005324223703475809
2025-01-04,madhya pradesh,indore,830,205,48,14574.0,12400.0,,,1083,26974.0,24.883763837638377,,,0.01062273803100891
2025-01-04,madhya pradesh,jabalpur,125,23,11,10507.0,8228.0,,,159,18735.0,117.09375,,,0.04998665955176094
2025-01-04,madhya pradesh,jhabua,466,372,48,7489.0,6260.0,,,886,13749.0,15.500563697857949,,,0.006617102966001259
2025-01-04,madhya pradesh,katni,353,40,20,5161.0,6243.0,,,413,11404.0,27.545893719806763,,,0.011759186219768094
2025-01-04,madhya pradesh,khandwa,271,133,16,5702.0,2816.0,,,420,8518.0,20.232779097387173,,,0.008637258952993455
2025-01-04,madhya pradesh,khargone,695,188,52,14061.0,10969.0,,,935,25030.0,26.74145299145299,,,0.011415775023032227
2025-01-04,madhya pradesh,morena,1027,459,82,13836.0,6276.0,,,1568,20112.0,12.818355640535373,,,0.005472083517837939
2025-01-04,madhya pradesh,panna,107,33,19,11063.0,6229.0,,,159,17292.0,108.075,,,0.046136606189967976
2025-01-04,madhya pradesh,raisen,410,83,22,12132.0,5580.0,,,515,17712.0,34.325581395348834,,,0.014653396540170258
2025-01-04,madhya pradesh,sagar,183,26,12,17815.0,10875.0,,,221,28690.0,129.23423423423424,,,0.055169363600526884
2025-01-04,madhya pradesh,satna,368,55,14,14637.0,7737.0,,,437,22374.0,51.082191780821915,,,0.02180669873247467
2025-01-04,madhya pradesh,sheopur,209,163,24,4582.0,2633.0,,,396,7215.0,18.173803526448363,,,0.007758293928046259
2025-01-04,madhya pradesh,shivpuri,499,259,111,9941.0,5513.0,,,869,15454.0,17.763218390804596,,,0.007583017456053189
2025-01-04,madhya pradesh,vidisha,670,119,42,8486.0,5753.0,,,831,14239.0,17.114182692307693,,,0.007305947787537969
2025-01-04,maharashtra,ahmadnagar,71,15,10,9904.0,19453.0,,,96,29357.0,302.64948453608247,,,0.1291993530570256
2025-01-04,maharashtra,aurangabad,584,154,53,8187.0,18109.0,,,791,26296.0,33.2020202020202,,,0.014173754621993682
2025-01-04,maharashtra,beed,379,52,19,8445.0,18130.0,,,450,26575.0,58.92461197339246,,,0.02515458355320916
2025-01-04,maharashtra,chandrapur,193,18,10,5339.0,13857.0,,,221,19196.0,86.46846846846847,,,0.03691290009326295
2025-01-04,maharashtra,hingoli,913,95,136,3222.0,6628.0,,,1144,9850.0,8.602620087336245,,,0.0036724098558532526
2025-01-04,maharashtra,jalgaon,360,53,10,12325.0,25017.0,,,423,37342.0,88.07075471698113,,,0.0375969070296611
2025-01-04,maharashtra,latur,229,42,23,8274.0,21319.0,,,294,29593.0,100.31525423728813,,,0.04282401461570465
2025-01-04,maharashtra,mumbai suburban,389,109,44,9528.0,9391.0,,,542,18919.0,34.84162062615101,,,0.014873690768901177
2025-01-04,maharashtra,nagpur,468,50,48,10872.0,28643.0,,,566,39515.0,69.69135802469135,,,0.029750846542024055
2025-01-04,maharashtra,nanded,462,89,56,11868.0,18508.0,,,607,30376.0,49.96052631578947,,,0.021327866089984833
2025-01-04,maharashtra,nandurbar,237,35,10,5673.0,11344.0,,,282,17017.0,60.130742049469966,,,0.025669473660392725
2025-01-04,maharashtra,palghar,174,90,16,5873.0,6864.0,,,280,12737.0,45.32740213523132,,,0.01935001158387676
2025-01-04,maharashtra,parbhani,135,10,16,6180.0,9983.0,,,161,16163.0,99.77160493827161,,,0.04259193380502523
2025-01-04,maharashtra,pune,39,11,19,27254.0,36621.0,,,69,63875.0,912.5,,,0.3895410885805763
2025-01-04,maharashtra,raigad,242,72,21,353.0,1240.0,,,335,1593.0,4.741071428571429,,,0.002023936575697515
2025-01-04,maharashtra,satara,192,26,18,8214.0,10932.0,,,236,19146.0,80.78481012658227,,,0.034486578495872895
2025-01-04,maharashtra,solapur,548,67,45,11972.0,20928.0,,,660,32900.0,49.77307110438729,,,0.021247842520549533
2025-01-04,maharashtra,thane,2371,913,150,16028.0,36209.0,,,3434,52237.0,15.207278020378457,,,0.006491900969211721
2025-01-04,manipur,churachandpur,130,476,26,861.0,960.0,,,632,1821.0,2.876777251184834,,,0.0012280799364716474
2025-01-04,meghalaya,east garo hills,491,1124,293,141.0,243.0,,,1908,384.0,0.20115243583027764,,,8.587083706735437e-05
2025-01-04,meghalaya,east jaintia hills,434,765,283,213.0,85.0,,,1482,298.0,0.200944032366824,,,8.578187080760898e-05
2025-01-04,meghalaya,east khasi hills,1437,4688,1673,1297.0,1920.0,,,7798,3217.0,0.41248878061289906,,,0.00017608912726271037
2025-01-04,meghalaya,north garo hills,205,1048,242,139.0,68.0,,,1495,207.0,0.13836898395721925,,,5.90689365879271e-05
2025-01-04,meghalaya,ri bhoi,319,1500,514,227.0,222.0,,,2333,449.0,0.19237360754070265,,,8.212320492666067e-05
2025-01-04,meghalaya,south garo hills,231,820,367,92.0,187.0,,,1418,279.0,0.19661733615221988,,,8.393482866690282e-05
2025-01-04,meghalaya,south west garo hills,991,610,174,242.0,355.0,,,1775,597.0,0.33614864864864863,,,0.00014349995673368138
2025-01-04,meghalaya,south west khasi hills,241,535,212,193.0,214.0,,,988,407.0,0.4115267947421638,,,0.0001756784609358223
2025-01-04,meghalaya,west garo hills,1215,1761,727,1078.0,3196.0,,,3703,4274.0,1.1538876889848813,,,0.0004925881276349547
2025-01-04,meghalaya,west jaintia hills,712,1478,727,563.0,285.0,,,2917,848.0,0.2906100068540096,,,0.00012405976813404892
2025-01-04,meghalaya,west khasi hills,896,2670,1129,461.0,444.0,,,4695,905.0,0.19271720613287904,,,8.226988522214685e-05
2025-01-04,mizoram,champhai,275,76,17,2757.0,965.0,,,368,3722.0,10.086720867208673,,,0.004305964084187266
2025-01-04,nagaland,chumukedima,16,57,13,27.0,63.0,,,86,90.0,1.0344827586206897,,,0.0004416148382585655
2025-01-04,nagaland,dimapur,249,454,80,936.0,2059.0,,,783,2995.0,3.82015306122449,,,0.0016308017337137628
2025-01-04,nagaland,kohima,212,385,49,345.0,1416.0,,,646,1761.0,2.7217928902627513,,,0.0011619179894398085
2025-01-04,nagaland,longleng,131,226,12,100.0,251.0,,,369,351.0,0.9486486486486486,,,0.00040497274221927364
2025-01-04,nagaland,noklak,47,65,16,28.0,67.0,,,128,95.0,0.7364341085271318,,,0.00031437955540112347
2025-01-04,nagaland,peren,201,331,12,191.0,462.0,,,544,653.0,1.198165137614679,,,0.0005114899200062663
2025-01-04,nagaland,phek,157,268,22,203.0,1448.0,,,447,1651.0,3.685267857142857,,,0.0015732200030492453
2025-01-04,nagaland,tuensang,173,296,34,299.0,863.0,,,503,1162.0,2.3055555555555554,,,0.000984228625637377
2025-01-04,odisha,nabarangapur,182,82,12,6437.0,6560.0,,,276,12997.0,46.92057761732852,,,0.020030129185625835
2025-01-04,punjab,amritsar,959,209,54,7813.0,13981.0,,,1222,21794.0,17.82011447260834,,,0.007607306071551051
2025-01-04,punjab,gurdaspur,233,36,49,5242.0,10128.0,,,318,15370.0,48.18181818181818,,,0.020568545648588333
2025-01-04,punjab,hoshiarpur,267,35,34,3760.0,7474.0,,,336,11234.0,33.3353115727003,,,0.014230655954194364
2025-01-04,punjab,kapurthala,302,65,305,2429.0,4988.0,,,672,7417.0,11.020802377414562,,,0.00470471819740216
2025-01-04,punjab,ludhiana,1841,734,184,10346.0,14080.0,,,2759,24426.0,8.85,,,0.0037780149413020273
2025-01-04,punjab,sangrur,145,11,10,3395.0,5402.0,,,166,8797.0,52.67664670658683,,,0.02248736252148851
2025-01-04,punjab,sas nagar (mohali),204,65,11,3205.0,3199.0,,,280,6404.0,22.790035587188612,,,0.009728937283751809
2025-01-04,rajasthan,ajmer,1007,196,36,5509.0,7665.0,,,1239,13174.0,10.624193548387098,,,0.004535408131648707
2025-01-04,rajasthan,alwar,784,209,39,8463.0,11534.0,,,1032,19997.0,19.358180058083253,,,0.008263897570152936
2025-01-04,rajasthan,baran,379,60,25,2478.0,3937.0,,,464,6415.0,13.795698924731182,,,0.005889305837665392
2025-01-04,rajasthan,bharatpur,240,37,10,4285.0,7395.0,,,287,11680.0,40.55555555555556,,,0.017312937270247835
2025-01-04,rajasthan,bikaner,552,261,16,5120.0,8366.0,,,829,13486.0,16.248192771084337,,,0.0069362615885098546
2025-01-04,rajasthan,bundi,337,93,35,2098.0,3150.0,,,465,5248.0,11.261802575107296,,,0.004807599818615708
2025-01-04,rajasthan,churu,316,141,12,5149.0,7988.0,,,469,13137.0,27.951063829787234,,,0.011932151047934783
2025-01-04,rajasthan,dholpur,947,347,50,2831.0,3372.0,,,1344,6203.0,4.611895910780669,,,0.0019687922778145865
2025-01-04,rajasthan,dungarpur,66,83,13,3240.0,4628.0,,,162,7868.0,48.26993865030675,,,0.020606163778145888
2025-01-04,rajasthan,jaipur,2601,671,162,14715.0,25717.0,,,3434,40432.0,11.770596797671033,,,0.0050248011943099385
2025-01-04,rajasthan,jalor,1186,672,124,3173.0,5924.0,,,1982,9097.0,4.587493696419567,,,0.001958375110531298
2025-01-04,rajasthan,jhalawar,112,49,12,2269.0,3399.0,,,173,5668.0,32.57471264367816,,,0.013905960573608605
2025-01-04,rajasthan,jodhpur,1624,565,87,9733.0,14493.0,,,2276,24226.0,10.639437856829161,,,0.004541915840695479
2025-01-04,rajasthan,karauli,348,105,12,3217.0,3723.0,,,465,6940.0,14.892703862660944,,,0.0063576110406236685
2025-01-04,rajasthan,kota,37,17,14,3659.0,5336.0,,,68,8995.0,130.36231884057972,,,0.05565093653813435
2025-01-04,rajasthan,nagaur,563,278,32,7553.0,12226.0,,,873,19779.0,22.630434782608695,,,0.00966080460303466
2025-01-04,rajasthan,pali,138,38,11,4499.0,10300.0,,,187,14799.0,78.71808510638297,,,0.033604305274869996
2025-01-04,rajasthan,sikar,251,62,22,6351.0,10971.0,,,335,17322.0,51.55357142857143,,,0.02200792803781064
2025-01-04,rajasthan,sirohi,349,210,67,2265.0,4482.0,,,626,6747.0,10.760765550239235,,,0.004593709946740335
2025-01-04,rajasthan,udaipur,70,47,15,6038.0,9759.0,,,132,15797.0,118.77443609022556,,,0.05070413493712937
2025-01-04,sikkim,south sikkim,15,23,11,272.0,131.0,,,49,403.0,8.06,,,0.00344076840981857
2025-01-04,sikkim,west sikkim,52,65,10,647.0,201.0,,,127,848.0,6.625,,,0.0028281750266808963
2025-01-04,tamil nadu,kancheepuram,229,75,24,11633.0,12146.0,,,328,23779.0,72.27659574468085,,,0.030854469901678054
2025-01-04,tamil nadu,madurai,94,10,11,10401.0,14583.0,,,115,24984.0,215.3793103448276,,,0.09194420932543332
2025-01-04,tamil nadu,thanjavur,35,10,11,6846.0,11788.0,,,56,18634.0,326.9122807017544,,,0.13955700350128256
2025-01-04,telangana,hyderabad,252,32,22,9730.0,11312.0,,,306,21042.0,68.54071661237785,,,0.029259644231538033
2025-01-04,telangana,k.v. rangareddy,159,25,28,9527.0,13014.0,,,212,22541.0,105.82629107981221,,,0.04517664507142463
2025-01-04,telangana,medchal-malkajgiri,76,25,15,1109.0,1772.0,,,116,2881.0,24.623931623931625,,,0.010511817128679456
2025-01-04,tripura,unakoti,19,16,15,3375.0,495.0,,,50,3870.0,75.88235294117646,,,0.032393747253437126
2025-01-04,tripura,west tripura,146,65,25,6514.0,8037.0,,,236,14551.0,61.39662447257384,,,0.02620987170654166
2025-01-04,uttar pradesh,agra,832,568,37,23587.0,9962.0,,,1437,33549.0,23.330319888734355,,,0.009959581596044547
2025-01-04,uttar pradesh,aligarh,1066,643,58,21555.0,5911.0,,,1767,27466.0,15.535067873303168,,,0.006631832603331128
2025-01-04,uttar pradesh,ambedkar nagar,159,143,10,5206.0,4034.0,,,312,9240.0,29.52076677316294,,,0.012602248355672547
2025-01-04,uttar pradesh,amroha,434,135,11,10891.0,2508.0,,,580,13399.0,23.061962134251292,,,0.009845021188581127
2025-01-04,uttar pradesh,azamgarh,231,332,26,13049.0,8716.0,,,589,21765.0,36.889830508474574,,,0.01574805998227303
2025-01-04,uttar pradesh,baghpat,311,224,18,4693.0,2074.0,,,553,6767.0,12.21480144404332,,,0.005214429645269293
2025-01-04,uttar pradesh,bahraich,1748,1784,281,17959.0,7506.0,,,3813,25465.0,6.676717357105401,,,0.0028502528738977165
2025-01-04,uttar pradesh,balrampur,429,642,32,8333.0,3721.0,,,1103,12054.0,10.918478260869565,,,0.004661036610830123
2025-01-04,uttar pradesh,banda,458,340,43,6605.0,4537.0,,,841,11142.0,13.232779097387173,,,0.00564899854744383
2025-01-04,uttar pradesh,bara banki,172,72,10,14422.0,6093.0,,,254,20515.0,80.45098039215686,,,0.03434406847050453
2025-01-04,uttar pradesh,bareilly,3176,1025,63,22874.0,8000.0,,,4264,30874.0,7.238921453692849,,,0.0030902546227077263
